Season,GameCode,Team,PlayerID,PlayerName,PIR,IsStarter,IsPlaying,Dorsal,Minutes,Points,FieldGoalsMade2,FieldGoalsAttempted2,FieldGoalsMade3,FieldGoalsAttempted3,FreeThrowsMade,FreeThrowsAttempted,OffensiveRebounds,DefensiveRebounds,TotalRebounds,Assistances,Steals,Turnovers,BlocksFavour,BlocksAgainst,FoulsCommited,FoulsReceived,Plusminus
2023,10,BAS,P008850,"RAIESTE, SANDER",0,0,0,2,DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,10,BAS,P007230,"SEDEKERSKIS, TADAS",21,1,1,8,28:57,11,4,8,1,1,0,0,7,6,13,2,3,2,0,1,1,0,11
2023,10,BAS,P004761,"MARINKOVIC, VANJA",12,0,1,9,22:35,9,0,1,2,5,3,4,2,2,4,0,1,0,0,0,1,4,4
2023,10,BAS,P009048,"MILLER-MCINTYRE, CODI",11,1,1,10,26:51,17,3,4,3,7,2,3,0,1,1,1,1,4,0,0,2,3,2
2023,10,BAS,P003198,"DIEZ, DANIEL",0,0,0,11,DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,10,BAS,P011085,"ROGKAVOPOULOS, NIKOLAOS",3,0,0,17,04:51,3,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1
2023,10,BAS,P008072,"DIOP, KHALIFA",4,1,0,18,14:19,7,2,4,0,0,3,4,1,1,2,1,0,2,0,0,4,3,15
2023,10,BAS,P004603,"KOTSAR, MAIK",8,0,0,21,18:11,6,3,4,0,0,0,0,0,1,1,3,1,2,0,0,0,0,-6
2023,10,BAS,P010444,"COSTELLO, MATTHEW",8,1,1,24,24:31,10,2,4,2,6,0,2,2,4,6,1,0,1,1,0,2,1,11
2023,10,BAS,P012201,"MONEKE, CHIMA",17,0,1,95,22:37,15,5,8,0,1,5,6,0,4,4,2,1,2,0,1,3,6,-11
2023,11,IST,P007200,"LARKIN, SHANE",6,1,0,0,23:53,5,1,3,1,3,0,0,0,2,2,4,0,1,0,0,2,2,-47
2023,11,IST,P006590,"BEAUBOIS, RODRIGUE",17,0,0,1,21:53,19,4,7,3,5,2,3,1,2,3,1,0,2,1,1,1,3,2
2023,11,IST,P012415,"TUNCA, MELIH",0,0,1,9,01:31,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
2023,11,IST,P004888,"CLYBURN, WILL",1,1,0,12,17:14,4,1,6,0,2,2,2,3,2,5,1,0,1,0,1,1,1,-30
2023,11,IST,P011078,"THOMPSON, DARIUS",23,1,0,13,32:29,20,6,9,2,3,2,3,3,4,7,5,1,2,0,0,5,2,-10
2023,11,IST,PLHK,"PLEISS, TIBOR",5,1,1,21,11:09,6,2,3,0,2,2,2,0,0,0,2,0,0,0,0,1,1,-14
2023,11,IST,P009513,"HOLLATZ, JUSTUS",3,0,1,23,09:25,3,0,1,1,1,0,0,0,0,0,2,0,0,0,0,2,1,2
